Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
324.505,1515.29,149.916,115
321.783,1531.29,151.175,115
326.944,1637.38,148.789,115
323.455,1634.46,150.402,115
324.404,1631.21,149.963,115
318.009,3250.54,152.921,115
320.233,3239.14,151.892,115
330.934,3228.32,146.943,115
322.958,3211.48,150.632,115
330.715,3200.55,147.044,115
333.994,3178.55,145.528,115
332.24,3169.42,146.339,115
335.832,3156.7,144.678,115
329.547,3146.13,147.585,115
338.786,3138.55,143.312,115
340.496,3120.64,142.521,115
339.455,3110.9,143.002,115
339.455,3098.15,143.002,115
346.596,3092.77,139.699,115
341.352,3078.4,142.125,115
354.446,3060.48,136.069,115
351.249,3062.17,137.548,115
356.346,3044.44,135.19,115
357.192,3025.43,134.799,115
366.203,3017.22,130.631,115
364.31,2999.46,131.507,115
368.585,2993.35,129.529,115
373.306,2977.7,127.346,115
373.306,2965.67,127.346,115
374.784,2967.35,126.662,115
373.835,2955.32,127.101,115
375.858,2944.48,126.166,115
383.581,2928.19,122.594,115
384.947,2925.64,121.962,115
379.891,2910.91,124.3,115
386.504,2894.51,121.242,115
391.575,2883,118.897,115
396.11,2874.17,116.799,115
395.43,2856.41,117.114,115
391.98,2848.33,118.709,115
401.212,2829.09,115,115
402.041,2828.32,115,115
403.372,2810.58,115,115
409.246,2802.57,115,115
415.97,2791.26,115,115
414.833,2779.23,115,115
415.195,2765.36,115,115
414.843,2753.3,115,115
425.074,2736.8,115,115
430.259,2725.97,115,115
428.159,2718.83,115,115
434.947,2709.24,115,115
440.918,2690.31,115,115
443.924,2680.58,115,115
438.106,2672.26,115,115
445.995,2655.72,115,115
446.944,2645.42,115,115
455.388,2635.07,115,116.384
457.026,2617.29,115,116.805
455.53,2609.32,115,116.421
455.448,2598.56,115,116.4
453.971,2586.84,115,116.02
457.627,2588.56,115,116.96
457.135,2576.53,115,116.833
465.831,2560.48,115,119.068
467.139,2549.3,115,119.404
469.76,2541.69,115,120.077
469.76,2529.66,115,120.077
469.924,2524.57,115,120.119
479.357,2520.23,115,122.543
